,Book Title,Book Link,Book Author,Book Review,Book Type
17,Good Girls Shouldn't,https://www.amazon.co.uk/dp/1901969266?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Veena S Halai,"This very funny first novel reads not quite like its heroine, 24 year-old Nina, would sound but definitely as she might write her thoughts down; describing her struggles with the perennial problems of life, work (none), men (ditto) and (traditionally minded) parents.  It should be filmed:  but only if the budget stretches to including Nina's big Indian adventure.",Very Happy
18,Getting It!,https://www.amazon.co.uk/dp/0751533645?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Jane Blanchard,"Fran packs in her journo job at a local rag for the more glamorous world of a TV shopping channel - a world which the book gently sends up.  Satire is too harsh a a word for this light comic read, the equivalent of a frothy cappuccino and a sticky pastry.  Various personal and domestic crises for Fran and her friends get solved along the way.
",Very Happy
19,Companions of Paradise,https://www.amazon.co.uk/dp/0553381784?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Thalassa Ali,Lovers of well-written historical romance rejoice!  Cross-cultural and spiritual divides are explored in the concluding drama of a trilogy set against a backdrop of India and Afghanistan during British rule.  The Sufi mysticism imbues the storytelling with a depth of authenticity which springs from experience rather than pure research.  The author’s obvious passion for the people and region draws you in and keeps you reading. ,Very Happy
20,Valeria's Last Stand,https://www.amazon.co.uk/dp/B002ROKQM4?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Marc Fitten,"Spinster Valeria, 68, approves of nothing and nobody until she falls for the village potter but she has a feisty rival in Ibolya, 58, the inn-keeper who flaunts her breasts to increase beer sales!  This love triangle is the talk of the village until the arrival of an ambitious chimney sweep further complicates matters.  Light, highly entertaining and proof that you are never too old for love.    ",Very Happy
21,The Bookish Life of Nina Hill,https://www.amazon.co.uk/dp/1472266218?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Abbi Waxman,"Nina and her cat Phil made me contemplate my life as a thirty-something living in a city a little less hipster than LA. She is, as was I, fond of her easy life as a bookish person, with her friends and her pub-quiz team. Until a long lost dead father turns her life around, gives her siblings and a boyfriend she doesn't want. What more can I want as a reader, lusting for something funny, light and airy as a chocolate cupcake with a bit of chili?",Very Happy
22,A New World,https://www.amazon.co.uk/dp/1780746237?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Amit Chaudhuri,"A light read about an Indian tugged between Calcutta and America.  Very detailed and descriptive.  Might disappoint if you're looking for something more plot driven.

",Very Happy
23,Less,https://www.amazon.co.uk/dp/0349143595?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Andrew Sean Greer,"Arthur Less is off on a journey that will take in four continents and numerous literary festivals, awards and other engagements. The reason for his journey: partly because of his soon to be 50th birthday, but primarily to escape having to commit to attending the wedding of a former boyfriend. This is a book to be easily charmed by; it is joyful, there are witticisms aplenty and Arthur will quickly endear himself to you I am sure.  ",Very Happy
24,The Oversight,https://www.amazon.co.uk/dp/0330481398?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Will Eaves,"This is an honest, engaging and gentle tale about growing up gay.  It's very English and not at all self-indulgent.  An atmospheric read, I could smell and touch the surroundings. It's also quite smooth and easy going and I read it through quickly.  





",Very Happy
0,Dark Vision,https://www.amazon.co.uk/dp/0091953596?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Debbie Johnson,"Feeling like a rather racy young adult story, this paranormal urban fantasy is modern, funny and, sometimes, faintly ridiculous!  Vampires and Celtic gods run amok in Liverpool and, of course, the fate of humanity rests on one woman’s shoulders!",Definitely Happy
1,The Buffalo Thief,https://www.amazon.co.uk/dp/B01LPD51EU?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Yojana Sharma,"This is a gentle read that will give you a flavour of life in small town India.  It's an imaginative and unusual book, part fairy tale and part social satire.  Its well constructed plot gathers pace towards the end.<br />
",Definitely Happy
2,Coconut Unlimited,https://www.amazon.co.uk/dp/0704372045?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Nikesh Shukla,"A nostalgic look at schooldays and for three Asian lads at Harrow they were the worst rather than best of days. Attempts to find their own identity in hip-hop culture and music result in the predictable embarrassment that only adolescence can produce. And then there’s the mortifying parents, common to all cultures. For all who remember the pains of growing up, but particularly for those who are interested in how hip-hop translates into Gujerati.",Definitely Happy
3,Christ's Entry into Brussels,https://www.amazon.co.uk/dp/1846274672?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Dimitri Verhulst,"In this surreal satire of modern life in Brussels, a jubilant narrator and his fellow citizens prepare for Christ's arrival. A clever mix of realism and fantasy, I joined in with the celebratory mood of the people and enjoyed the camaraderie shared by the masses in anticipation of this joyous event. ",Definitely Happy
4,11 Emerald Street,https://www.amazon.co.uk/dp/B01K0S805S?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Hugh O'Donnell,"This book gives an insight into the social history of Southern Ireland through the eyes of Robbie, the main character.  His mind flits here and there, just like the story, but it's beautifully written  and portrays the innocence of childhood, describing raw emotion to downright naughtiness.  Robbie's head injury and his belief that he can perform miracles from God, is completely believeable. If you choose to believe too - don't be ashamed.  I did.  If you don't believe,  then so be it.  Read it and decide for yourself.

",Definitely Happy
5,Havana Best Friends,https://www.amazon.co.uk/dp/0007144199?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Jose Latour,"A gripping thriller set in modern Cuba, this book gives a wonderful glimpse into the life of modern day Cubans, and how they cope without the things we in the West take for granted.  Their phlegmatic approach to life is contrasted with the lives of supposedly better off Americans as the story unfolds towards its conclusion.  It keeps you guessing right to the end.


",Definitely Happy
6,Hotel Bosphorus,https://www.amazon.co.uk/dp/B083CSHPNV?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Esmahan Aykol,"Katie, a crime bookshop owner in Istanbul and an amateur sleuth is German by birth and much of the humour of the book comes from the cultural differences between the two countries. She is feisty, cheeky and very nosy - a good character trait for a would-be detective. Well worth a read as the book is funny and the setting gives the story an original edge.",Definitely Happy
7,Kill Your Friends,https://www.amazon.co.uk/dp/0099592096?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,John Niven,Steven Stelfox - a totally evil immoral scheming villain with no redemptive features.  So why did I find myself willing him on to success?  This is a superbly funny expose of the music industry - can it really be this bad? - which I thoroughly enjoyed even when I was gasping at the sheer audacity of this man's idea of career progression.,Definitely Happy
8,Unmasked,https://www.amazon.co.uk/dp/1777375509?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Jenifer Kanin,"Gary is a raccoon.  Jenny a rabbit and the brains of the outfit.  They work out ways of using disguises to sneak onto human property and raid the larders for treats. Meanwhile Max, a fox and Jonathan, his chipmunk sidekick, are investigating the disappearance of an opossum family. This is a wonderful romp - think Hound of the Baskervilles, but with a touch of animal lunacy. Sit back and enjoy.",Definitely Happy
9,Did the Earth Move?,https://www.amazon.co.uk/dp/0552155802?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Carmen Reid,"Yes this is a romance, and a predictable one too, but entertaining nonetheless.  Eve is forty something with two batches of kids and no man apart from the friendly vet who provides occasional good sex.  She's been through the mill and you'll warm to her and her problems for sure.  One of those books you don't really want to end.

",Definitely Happy
10,Ralph's Party,https://www.amazon.co.uk/dp/014027927X?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Lisa Jewell,"The lives and loves of the residents of a block of flats - you'll want to move in by the end! 



",Definitely Happy
11,Confinement,https://www.amazon.co.uk/dp/B0037472NE?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Katherine McMahon,"A story of two young women - both teachers - separated by 100 years of history but linked by small ironies and interconnections and the themes of inspiration, duty and compromise.  If Charlotte Bronte had teamed up with Joanna Trollope this would have been the result.
",Definitely Happy
12,Thraxas at  War,https://www.amazon.co.uk/dp/1841492426?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Martin Scott,"This is an easy and amusing read, even for a non-reader of fantasy novels.  I was drawn to the main character, the cynical, overweight Thraxas, and laughed at his sardonic comments on the behaviour of his friends and enemies.  The parallels with our own society's ills are there, but always made with a light touch.  The book is ultimately a humourous and entertaining journey into another world.",Definitely Happy
13,In Your Dreams ,https://www.amazon.co.uk/dp/0593045432?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Charlie Ross,"Funny and warming account of a group of mostly male friends going through various stages of commitment in their relationships.  One in particular cannot bring himself to use the word 'marriage'. If you like Nick Hornby and Mike Gayle you won't be disappointed.       

",Definitely Happy
14,Midnight in the Garden of Good and Evil,https://www.amazon.co.uk/dp/0340992859?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,John Berendt,"There are many characters to keep track of and lots of sub-plots, but the best thing about this book is the setting.  Savannah sounds like a beautiful and fascinating place - I want to go there having read this book!


",Definitely Happy
15,Digging to America,https://www.amazon.co.uk/dp/0099499398?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Anne Tyler,"Two extended families of likable but hugely diverse people are brought together by the adoption of two Korean babies.  Each family has different aspirations both for themselves and for their 'babies'.  This leads to some hilarious episodes and to inevitable misunderstandings.  Great observation of American family life handled with sensitivity and humour.  <br />
",Definitely Happy
16,The Man Who Forgot his Wife,https://www.amazon.co.uk/dp/B0064BWEEO?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,John O'Farrell,"If there's a serious side, it's implicit, and would be something like: the tragedy of our failures at relationships is that we can't rewind and escape the roles in which we've cast ourselves. Is amnesia a metaphor for the clean slate on which life might be rebuilt?  O'Farrell's observations of our ridiculous personal quirks and foibles make for comedy on many levels.",Definitely Happy
17,Ulrich Haarburste's Novel of Roy Orbison in Clingfilm,https://www.amazon.co.uk/dp/B07W83DPLX?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Michael Kelly,"In downtown Dusseldorf, everyone communicates in a polite and formal manner, while Ulrich pursues his fantasy of wrapping Roy Orbison in clingfilm. An inventive and laugh out loud read for non-fetishists.",Definitely Happy
18,Gloriana's Torch,https://www.amazon.co.uk/dp/0753818043?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Patricia Finney,"Here is intrigue and a twist to a well known historical story, the stories of a group of people who get involved in the Armada.  We may know the outcome, but the story throws up some interesting questions about how things were resolved.  Plenty of atmosphere and action, but honesty and integrity too.",Definitely Happy
19,The Pirate's Daughter,https://www.amazon.co.uk/dp/B01N51VTK5?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Margaret Cezair-Thompson,"All the passion, heat and colour of a swashbuckling saga await you within the pages of this novel.  Set in the tropical paradise of Jamaica, this is romantic escapism with a satisfying filling of history and evocative atmosphere.",Definitely Happy
20,Life According to Lubka,https://www.amazon.co.uk/dp/B004Y5B3K8?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Laurie Graham,"Roll up! Roll up! The Gorni Grannies have reserved a place for you on their tour bus. Lessons in life, love and Bulgarian Mafia dodging are comically prescribed by Lubka on this lighthearted investigation of East-West culture clash.  Like the world-weary music executive who has to marshall the tour I discovered a very genuine warmth in the strong characters who inhabit the uncool World Music scene.",Definitely Happy
21,A Handful of Manhood ,https://www.amazon.co.uk/dp/1860497713?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Gaby Hauptmann,"A funny, easy read about a group of middle-aged friends going through their mid-life crises.  The result is an hilarious story filled with coincidencs, unexpected alliances and a turn around in fortunes. 
",Definitely Happy
22,Miss Fanny's Voice,https://www.amazon.co.uk/dp/0099273535?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Dorit Peleg,"It's fresh and creative to portray the lives of Israelis in the 60s without it being dominated by the Holocaust.  Fanny does reflect on the past in Germany, but this just helps explain the transitory, brittle relationships of the present.





",Definitely Happy
23,My Secret Lover,https://www.amazon.co.uk/dp/0552999393?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Imogen Parker,"This one's an easy read for the beach.  Lydia has a job, a house and a fiance, not to mention a rich sister.  She teaches six year olds and spends her spare time doing quizzes with her boy friend.  But is this all there is to life?  Then she meets Andy42 on the internet and things start to change.  Great light relief!
",Definitely Happy
24,Going Down,https://www.amazon.co.uk/dp/0857501909?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Kate Thompson,"Ella wins a holiday in Jamaica where she discovers the joys of scuba diving.  Back home in Dublin she practises scuba and meets the love of her life.  An easy, lighthearted read in which the reader learns a bit about scuba, Jamaica and the art of playing a mean fiddle.

",Definitely Happy
0,Palm Beach Finland,https://www.amazon.co.uk/dp/B07DFQ2DVK?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Antti Tuomainen,"A dead body, an ace detective, a key suspect - the essential components of Nordic crime are present, but this story really plays around with the genre.  Palm Beach Finland has to be one of the tackiest seaside resorts I've come across, however beyond the gaudy beach huts and plastic palm trees the real Finland is there. Told from the perspective of an eclectic cast of characters, this is a mystery which doesn't take itself too seriously.   ",Fairly Happy
1,Out of the Blue: Poems 1975-2001,https://www.amazon.co.uk/dp/B01N3YZU45?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Helen Dunmore,"Helen Dunmore writes sensuous, delicate and often surprising poems about the natural world, birth, love, death and the full panoply of family life.  Dunmore is also an award winning novelist, and she combines strong story telling skills with lyrical intensity.",Fairly Happy
2,Faint Praise,https://www.amazon.co.uk/dp/B00DJM2PTU?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Ellen Hart,"If you feel like a gripping read full of humour join this private investigator as she solves an intriguing series of deaths in Minneapolis.

",Fairly Happy
3,Point of Sale,https://www.amazon.co.uk/dp/1857544846?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Peter Sansom,"Point of Sale is an entertaining and accessible collection by a poet who writes with warmth and wry humour about family life, chip shops, department stores and the mundane details of the everyday.  An excellent choice for any reader who's a bit nervous of contemporary poetry but wants to find out more.
",Fairly Happy
4,The Taste of Apple Seeds,https://www.amazon.co.uk/dp/0857891006?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Katharina Hagena,"Iris's story, gently revealed in layers and drifts of memories, is less about dramatic twists and turns than it is about the slow evolution of how you understand yourself, and how family and place shapes us. It's beautiful - in a quiet, cosy, way. ",Fairly Happy
5,Immaculate Conceit,https://www.amazon.co.uk/dp/0340770015?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Stella Duffy,"An irreverent look at the possibilities of a 'second coming'.  Those who love Dave Allen will relish this but those who have a more conservative view of Christianity should possibly avoid it!


",Fairly Happy
6,Going Loco,https://www.amazon.co.uk/dp/B01K0Q24LQ?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Lynne Truss,"This darkly comic book plays with the idea of the doppelganger. From the heroine, whose life is commandeered by her cleaning lady, to the palindromic brothers Noel and Leon, nobody is quite who they seem to be. It starts off as a fairly standard story about a woman trying and failing to have it all, but spirals off to a far darker and more sinister place. It's an absurd but fantastically funny read, and should appeal to anyone with a slightly offbeat sense of humour.<br />
<br />
",Fairly Happy
7,Little,https://www.amazon.co.uk/dp/1910709565?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Edward Carey,"Told in a straightforward way, this story of Marie Grosholz - who learns to make wax heads, lives in the palace of Versailles, goes to prison and survives the French Revolution to become Madame Tussaud - would make an exciting read. But this book becomes special because of its style. Marie thinks and speaks with a childlike, naïve voice – which is also brutally honest. The language and pictures she creates make this story impossible to forget.<br /><br /><br />",Fairly Happy
8,Somewhere South of Here,https://www.amazon.co.uk/dp/0552999369?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,William Kowalski,"Give yourself time to get to know the characters by the third chapter you will find yourself liking Billy and involved in the search for his mother.
",Fairly Happy
9,Changes,https://www.amazon.co.uk/dp/1558610650?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Ama Ata Aidoo,"A beautifully written, liberating novel of contemporary African womanhood - not to be missed.<br />
",Fairly Happy
10,The Ice Trap,https://www.amazon.co.uk/dp/1416539980?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Kitty Sewell,Really intriguing mystery - I couldn't put it down.  I loved the Arctic setting and the vivid descriptions of this beautiful but brutal land.,Fairly Happy
11,Sound Barrier: Poems 1982-2002,https://www.amazon.co.uk/dp/1852245786?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Maura Dooley,"These are tender, lyrical, reflective poems about love, memory and life in the country and the city.  Highly recommended to any poetry novice.
",Fairly Happy
12,God's Spy,https://www.amazon.co.uk/dp/B003TO5APY?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Juan Gomez Jurado,"OK so this is another offspring of 'The Da Vinci Code' and 'Silence of the Lambs' but it's also the work of a prizewinning journalist, has a realistic and appealing heroine, is a genuine page-turner and has a truly magnificent surprise ending.  It should make a good film too, so make sure you read the book first.",Fairly Happy
13,Valhalla,https://www.amazon.co.uk/dp/1627987185?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Ari Bach,"A very violent but also very witty SF novel set mostly in Scotland in the year 2230. Great characters and dialogue. Not a lot of plot and what there is, is mostly violence in various forms. Be prepared for gallons of blood and lots of body parts. However with 2230 advanced surgery, most bodies can be put together again so no one really dies! Even if science fiction is not your thing, give this one a go. It's great fun and there are sequels.<br />",Fairly Happy
14,Nobody Told Me,https://www.amazon.co.uk/dp/0349726574?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Hollie McNish,"Forget Dr Spock and the baby manuals, this searingly honest and intimate diary/memoir from the front line tells you all you need to know (or wish you had known beforehand) about having a baby. Whilst the miracle of birth is celebrated in prose and poetry, in all its beauty and terror, the gory details of the subject are not for the squeamish.<br /><br />",Fairly Happy
15,The Teleportation Accident,https://www.amazon.co.uk/dp/B0087GZI7E?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Ned Beauman,"If the self-absorbed son of Terry Pratchett and Donna Tartt had hung around the fringes of the literary and scientific worlds in 1930's Western Europe and Los Angeles then this could have been his story: amazing, hilarious and yet frightening.  I would like to include a challenge to identify not only a serial killer but also the author of bestselling 'Dames!  And How to Lay Them.'  I couldn't.",Fairly Happy
16,The Chatelet Apprentice,https://www.amazon.co.uk/dp/1906040060?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Jean-Francois Parot,This very readable French 'historical crime' story combines the swashbuckling charm of 'The Three Musketeers' with the clever plotting of 'The Murders in the Rue Morgue'.  An easy way to learn some French history too. ,Fairly Happy
17,The Selected Works of T S Spivet,https://www.amazon.co.uk/dp/1594202176?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Reif Larsen,"TS Spivet is a genius map-maker but he’s also a 12 year old boy; he orders the world by reducing everything to maps and diagrams. When he wins a major scientific prize he embarks on a 2,000 mile journey to Washington, riding freight trains and hitching lifts.  An utterly captivating read; you will find yourself rooting for this precocious boy as he tries to make sense of the adult world whilst astonishing the scientists. ",Fairly Happy
18,One Day,https://www.amazon.co.uk/dp/0340896981?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,David Nicholls,"This is a book just begging for a film treatment and after a few pages you may find yourself mentally casting the main characters.  It covers two decades of a will they/won't they, bittersweet relationship - a feel-good 'romcom', with the emphasis on comedy, like a British version of When Harry Met Sally.  If you enjoyed that film (and who didn't?) you will love this, but be prepared for tears as well as laughter.",Fairly Happy
19,Happiness,https://www.amazon.co.uk/dp/1841953512?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Will Ferguson,"This book is the perfect antidote to wallowing in self-pity. By the end of the novel you will want to throw out any self-help book that you have had the misfortune to buy.  In the words of Rajee Tupak Soiree Live! Love! Learn!<br />
<br />
",Fairly Happy
20,Scenes from the Life of a Best-selling Author,https://www.amazon.co.uk/dp/1860468632?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Michael Kruger,"The title says it all: Kruger's family of aunts, uncles and cousins; large dilapidated town houses in post war Germany.  Books about books, books about nothing, books about books and alcohol consumption and more.  Written with warm, dry affectionate humour.<br /><br /><br /><br /><br />",Fairly Happy
21,Everything Is Going to Be Great,https://www.amazon.co.uk/dp/0061782351?tag=whichbooknet-21&linkCode=osi&th=1&psc=1, Rachel Shukert,"These cautionary tales of a young American woman on a raunchy romp of one-night stands with dubious men is new take on the innocent abroad. The lurid details of her sexual exploits in Amsterdam and Vienna are at times buttock-clenchingly frank, but the vulgar and sometimes irreverent anecdotes are rendered highly entertaining by her self-deprecating acerbic Jewish humour. Probably not suitable material for a book group, though!",Fairly Happy
22,Gabriel's Gift,https://www.amazon.co.uk/dp/0571209297?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Hanif Kureishi,"A coming-of-age story in which 15-year-old Gabriel struggles to develop his artistic side while coping with his parents separation.  Can Gabriel's gift stop him falling into the spiral of failure which has swallowed his musician father? A light, enjoyable read with some piqiant insights into the nature of fame, talent, art and the way men and women interact in the real world.",Fairly Happy
23,Past Imperfect,https://www.amazon.co.uk/dp/1780229232?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Julian Fellowes,"Damian Baxter furnishes his friend with a list of his past conquests and sets him the task of finding his heir, kick starting a fascinating journey through an aristocratic, privileged world of debutantes, balls and lavish parties.  His quest uncovers some memorable characters, secret love affairs and a mystery to solve.  An entertaining, poignant but often witty and funny page turner which will keep you guessing until the last chapter. ",Fairly Happy
24,Startling Moon,https://www.amazon.co.uk/dp/B01A1MRVKS?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Liu Hong,A gem of a read! Totally absorbing story of a young girl growing up in China just after the Cultural Revolution. We live with Taotao through the death of Chairman Mao and the following years of increasing enlightenment up to the terror of Tiananmen Square.  Eye opening stuff!  ,Fairly Happy
0,The House in Smyrna,https://www.amazon.co.uk/dp/1922247979?tag=whichbooknet-21&linkCode=osi&th=1&psc=1,Tatiana Salem Levy,"Short narrative strands twist and turn together with unnamed characters that force you to skip back and reread to try and understand what’s going on.  Yet amongst the confusion, the writing is emotionally powerful and beautiful, as it moves gracefully from moments of sexual intimacy and violence to vivid travelogues. Difficult, but well worth the effort.",A Little Happy
